"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "JavaScript React", "XML", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/components/Stay/Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 53
"/Users/clifford/Codings/winda-test/components/Stay/MobileSearchModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 170, 0, 31, 18, 219
"/Users/clifford/Codings/winda-test/components/Stay/Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 444, 0, 0, 43, 487
"/Users/clifford/Codings/winda-test/components/Stay/Price.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 48, 0, 0, 10, 58
"/Users/clifford/Codings/winda-test/components/Stay/Review.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 159, 0, 0, 11, 170
"/Users/clifford/Codings/winda-test/components/Stay/ReviewOverview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 152, 0, 0, 14, 166
"/Users/clifford/Codings/winda-test/components/Stay/Reviews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 58, 0, 0, 6, 64
"/Users/clifford/Codings/winda-test/components/Stay/ScrollTo.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 202, 0, 38, 16, 256
"/Users/clifford/Codings/winda-test/components/Stay/Share.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 148, 0, 0, 11, 159
"/Users/clifford/Codings/winda-test/components/Transport/AllReviews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 142, 0, 0, 17, 159
"/Users/clifford/Codings/winda-test/components/Transport/CreateReview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 148, 0, 5, 14, 167
"/Users/clifford/Codings/winda-test/components/Transport/FilterTags.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 118, 0, 0, 11, 129
"/Users/clifford/Codings/winda-test/components/Transport/Footer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 156, 0, 0, 3, 159
"/Users/clifford/Codings/winda-test/components/Transport/ImageGallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 118, 0, 2, 7, 127
"/Users/clifford/Codings/winda-test/components/Transport/Listing.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 356, 0, 26, 34, 416
