"filename", "language", "JSON with Comments", "JavaScript", "JSON", "XML", "Markdown", "CSS", "JavaScript React", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/components/Stay/DescribesStay.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 350, 0, 23, 373
"/Users/clifford/Codings/winda-test/components/Stay/ImageGallery.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 72, 0, 7, 79
"/Users/clifford/Codings/winda-test/components/Stay/Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"/Users/clifford/Codings/winda-test/components/Stay/Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 112, 24, 8, 144
"/Users/clifford/Codings/winda-test/components/Stay/Price.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 46, 0, 10, 56
"/Users/clifford/Codings/winda-test/components/Stay/Review.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 158, 0, 11, 169
"/Users/clifford/Codings/winda-test/components/Stay/ReviewOverview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 110, 0, 9, 119
"/Users/clifford/Codings/winda-test/components/Stay/Reviews.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 83, 0, 7, 90
"/Users/clifford/Codings/winda-test/components/Stay/Share.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 155, 0, 11, 166
"/Users/clifford/Codings/winda-test/components/mapTestComponent/Map.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 139, 68, 20, 227
"/Users/clifford/Codings/winda-test/components/ui/Accordion.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 94, 0, 5, 99
"/Users/clifford/Codings/winda-test/components/ui/Badge.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"/Users/clifford/Codings/winda-test/components/ui/BottomTooltip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 68, 0, 4, 72
"/Users/clifford/Codings/winda-test/components/ui/Button.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 55, 0, 7, 62
"/Users/clifford/Codings/winda-test/components/ui/Card.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 41, 0, 4, 45
"/Users/clifford/Codings/winda-test/components/ui/Carousel.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 132, 2, 9, 143
"/Users/clifford/Codings/winda-test/components/ui/Checkbox.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 26, 0, 4, 30
"/Users/clifford/Codings/winda-test/components/ui/DatePicker.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 65, 0, 5, 70
"/Users/clifford/Codings/winda-test/components/ui/DatePickerRange.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 36, 0, 4, 40
"/Users/clifford/Codings/winda-test/components/ui/Dropdown.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 48, 0, 4, 52
"/Users/clifford/Codings/winda-test/components/ui/Input.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 104, 3, 4, 111
"/Users/clifford/Codings/winda-test/components/ui/InputStarRating.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 28, 0, 4, 32
"/Users/clifford/Codings/winda-test/components/ui/LeftTooltip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 68, 0, 4, 72
"/Users/clifford/Codings/winda-test/components/ui/ListItem.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"/Users/clifford/Codings/winda-test/components/ui/LoadingCardSkeleton.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"/Users/clifford/Codings/winda-test/components/ui/LoadingPulse.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"/Users/clifford/Codings/winda-test/components/ui/LoadingSpinerChase.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
"/Users/clifford/Codings/winda-test/components/ui/Message.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 45, 0, 4, 49
"/Users/clifford/Codings/winda-test/components/ui/MobileModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 117, 0, 8, 125
"/Users/clifford/Codings/winda-test/components/ui/Modal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 97, 0, 8, 105
"/Users/clifford/Codings/winda-test/components/ui/ModalPopup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 116, 0, 8, 124
"/Users/clifford/Codings/winda-test/components/ui/Popup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 51, 0, 4, 55
"/Users/clifford/Codings/winda-test/components/ui/Rating.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
"/Users/clifford/Codings/winda-test/components/ui/ResponsiveModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 74, 0, 5, 79
"/Users/clifford/Codings/winda-test/components/ui/RightTooltip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 68, 0, 4, 72
"/Users/clifford/Codings/winda-test/components/ui/SecondCard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 44, 0, 4, 48
"/Users/clifford/Codings/winda-test/components/ui/SelectInput.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 35, 0, 4, 39
"/Users/clifford/Codings/winda-test/components/ui/StayType.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 29, 0, 4, 33
"/Users/clifford/Codings/winda-test/components/ui/StyledLink.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 16, 0, 4, 20
"/Users/clifford/Codings/winda-test/components/ui/Switch.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 47, 0, 4, 51
"/Users/clifford/Codings/winda-test/components/ui/TextArea.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 45, 0, 3, 48
"/Users/clifford/Codings/winda-test/components/ui/TopBarMessage.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 67, 0, 5, 72
"/Users/clifford/Codings/winda-test/components/ui/TopTooltip.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 68, 0, 4, 72
"/Users/clifford/Codings/winda-test/lib/PriceRate.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/clifford/Codings/winda-test/lib/getCart.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/clifford/Codings/winda-test/lib/getServerSideProps.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 4, 12, 109
"/Users/clifford/Codings/winda-test/lib/getToken.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/clifford/Codings/winda-test/lib/getTokenFromReq.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/clifford/Codings/winda-test/lib/mixpanelconfig.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 1, 5, 39
"/Users/clifford/Codings/winda-test/lib/random.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
